CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Workshop,"Have computer or software questions? Tech Tutor Volunteers provide basic level help to you. You may bring your own laptop, but Tech Tutors cannot provide hands-on or hardware assistance. No registration required.",Vashon,50+,50,King County Library System,Beginners,One-On-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1545)&fq=types:(567990aa9fdb8abb6200c819)/event/5afdee4b94ca952400dbaf77
Workshop,"Have computer or software questions? Tech Tutor Volunteers provide basic level help to you. You may bring your own laptop, but Tech Tutors cannot provide hands-on or hardware assistance. No registration required.",Vashon,50+,50,King County Library System,Beginners,One-On-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1545)&fq=types:(567990aa9fdb8abb6200c819)/event/5afdee4b94ca952400dbaf77
Workshop,"Have computer or software questions? Tech Tutor Volunteers provide basic level help to you. You may bring your own laptop, but Tech Tutors cannot provide hands-on or hardware assistance. No registration required.",Vashon,50+,50,King County Library System,Beginners,One-On-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1545)&fq=types:(567990aa9fdb8abb6200c819)/event/5afdee4b94ca952400dbaf77
Workshop,"Have computer or software questions? Tech Tutor Volunteers provide basic level help to you. You may bring your own laptop, but Tech Tutors cannot provide hands-on or hardware assistance. No registration required.",Vashon,50+,50,King County Library System,Beginners,One-On-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1545)&fq=types:(567990aa9fdb8abb6200c819)/event/5afdee4b94ca952400dbaf77
