CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Course,"Learn the basics of Excel 2016, create and manage worksheets and workbooks, manage data in cells and ranges and more. Before class, please read this short blogpost: http://1.kcls.org/2CvPvQgRegistration begins one week before class online or at the Information Desk.",Bothell,50,19,King County Library System,Beginners,Computer Class: Microsoft Excel 2016 Level 1,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1493)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a348aedaf00270068ffce
Course,"Learn the basics of Excel 2016, create and manage worksheets and workbooks, manage data in cells and ranges and more. Before class, please read this short blogpost: http://1.kcls.org/2CvPvQgRegistration begins one week before class online or at the Information Desk.",Bothell,50,19,King County Library System,Beginners,Computer Class: Microsoft Excel 2016 Level 1,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1493)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a348aedaf00270068ffce
Course,"Learn the basics of Excel 2016, create and manage worksheets and workbooks, manage data in cells and ranges and more. Before class, please read this short blogpost: http://1.kcls.org/2CvPvQgRegistration begins one week before class online or at the Information Desk.",Bothell,50,19,King County Library System,Beginners,Computer Class: Microsoft Excel 2016 Level 1,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1493)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a348aedaf00270068ffce
Course,"Learn the basics of Excel 2016, create and manage worksheets and workbooks, manage data in cells and ranges and more. Before class, please read this short blogpost: http://1.kcls.org/2CvPvQgRegistration begins one week before class online or at the Information Desk.",Bothell,50,19,King County Library System,Beginners,Computer Class: Microsoft Excel 2016 Level 1,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1493)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a348aedaf00270068ffce
