CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course, Do you need extra help on the computer? Are you working on a special project? Do you want to create an email account? A KCLS volunteer instructor can give you One-on-One assistance!,Woodmont,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1549)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a4738009bcb3700157842
Computer Basic Course, Do you need extra help on the computer? Are you working on a special project? Do you want to create an email account? A KCLS volunteer instructor can give you One-on-One assistance!,Woodmont,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1549)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a4738009bcb3700157842
Computer Basic Course, Do you need extra help on the computer? Are you working on a special project? Do you want to create an email account? A KCLS volunteer instructor can give you One-on-One assistance!,Woodmont,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1549)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a4738009bcb3700157842
Computer Basic Course, Do you need extra help on the computer? Are you working on a special project? Do you want to create an email account? A KCLS volunteer instructor can give you One-on-One assistance!,Woodmont,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1549)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a4738009bcb3700157842
