CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",Valley View,50,19,King County Library System,Beginners,Drop in to learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1546)&fq=types:(567990aa9fdb8abb6200c819)/event/5a31dff4eb74102f00e171fb
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",Valley View,50,19,King County Library System,Beginners,Drop in to learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1546)&fq=types:(567990aa9fdb8abb6200c819)/event/5a31dff4eb74102f00e171fb
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",Valley View,50,19,King County Library System,Beginners,Drop in to learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1546)&fq=types:(567990aa9fdb8abb6200c819)/event/5a31dff4eb74102f00e171fb
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",Valley View,50,19,King County Library System,Beginners,Drop in to learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1546)&fq=types:(567990aa9fdb8abb6200c819)/event/5a31dff4eb74102f00e171fb
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",Valley View,50,19,King County Library System,Beginners,Drop in to learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1546)&fq=types:(567990aa9fdb8abb6200c819)/event/5a31dff4eb74102f00e171fb
