CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course,"Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources. Se habla espanol!",Renton Highlands,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1557)&fq=types:(567990aa9fdb8abb6200c819)/event/5b469071baeab030003abfc7
Computer Basic Course,"Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources. Se habla espanol!",Renton Highlands,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1557)&fq=types:(567990aa9fdb8abb6200c819)/event/5b469071baeab030003abfc7
