CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! Drop in to a session or call ahead for an appointment.,Maple Valley,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1527)&fq=types:(567990aa9fdb8abb6200c819)/event/5b43d2cfbaeab030003a7ae5
