CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Workshop,"A series of 6 workshops targeted at young adults experiencing or at risk of homelessness, focusing on real-world digital skills that will increase participant access to employment, education and other important resources, including housing, and healthcare. Participants will have the opportunity to earn laptops, tablets, and internet connection through hotspots.","['1620 Perimeter Rd SW, Auburn WA 98001', '14230 Bel-Red Rd, Bellevue WA 98007', '13750 Newcastle Golf Club Rd, Newcastle WA 98059', '19290 Aurora Ave N, Shoreline WA 98133', '909 Fourth Ave, Seattle WA 98104', '3595 S 188th St, SeaTac WA 98188', '1700 23rd Ave, Seattle WA 98122', '11811 NE 195th St, Bothell WA 98011', '831 228th Ave SE, Sammamish WA 98075', '35018 SE Ridge St, Snoqualmie WA 98065', '5003 12th Ave NE, Seattle WA 98105', '3622 SW Snoqualmie St, Seattle WA 98126']",-1,18,YMCA,Beginner,YTech Digital Lifehacks,Digital Literacy,https://www.seattleymca.org/accelerator/ytech
Afterschool Program,"A weekly after-school program for middle and high school students, intended to help build a bridge between low income youth, youth of color, immigrant and refugee youth, and Seattle’s tech economy. Participants will participate in skill-building workshops, field trips, and job shadowing. This program will include building partnerships with various tech professionals within the industry. Participants will have the opportunity to earn laptops, tablets, cameras, and internet connection through hotspots.","['1620 Perimeter Rd SW, Auburn WA 98001', '14230 Bel-Red Rd, Bellevue WA 98007', '13750 Newcastle Golf Club Rd, Newcastle WA 98059', '19290 Aurora Ave N, Shoreline WA 98133', '909 Fourth Ave, Seattle WA 98104', '3595 S 188th St, SeaTac WA 98188', '1700 23rd Ave, Seattle WA 98122', '11811 NE 195th St, Bothell WA 98011', '831 228th Ave SE, Sammamish WA 98075', '35018 SE Ridge St, Snoqualmie WA 98065', '5003 12th Ave NE, Seattle WA 98105', '3622 SW Snoqualmie St, Seattle WA 98126']",18,11,YMCA,Beginner/Intermediate,YTech Tuesdays,Digital Literacy,https://www.seattleymca.org/accelerator/ytech
Course,"In junction other organizations, YTech programming aims to have youth be aware of the importance of both soft and hard skills. In partnership with the Horn of Africa Services organization, youth are taught interview techniques, how to job search, and more. In addition, they are given projects that allow them to allow use and learn devices such as cameras, camcorders, and laptops for presentations.
Furthermore, youth attending the YTech program will have the opportunity to ask for tips from various professionals in how to get themselves started and what approaches are best taken; the program has a slight integration of leadership skill building through moments of mentorship from professionals and volunteers.","['1620 Perimeter Rd SW, Auburn WA 98001', '14230 Bel-Red Rd, Bellevue WA 98007', '13750 Newcastle Golf Club Rd, Newcastle WA 98059', '19290 Aurora Ave N, Shoreline WA 98133', '909 Fourth Ave, Seattle WA 98104', '3595 S 188th St, SeaTac WA 98188', '1700 23rd Ave, Seattle WA 98122', '11811 NE 195th St, Bothell WA 98011', '831 228th Ave SE, Sammamish WA 98075', '35018 SE Ridge St, Snoqualmie WA 98065', '5003 12th Ave NE, Seattle WA 98105', '3622 SW Snoqualmie St, Seattle WA 98126']",18,-1,YMCA,Beginner,Job Readiness Training,Job search / digital literacy,https://www.seattleymca.org/accelerator/ytech
