CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Workshop,"Practice the skills necessary for using a computer; including using the mouse, selecting items and text, arranging windows, browsing the Internet and library catalog.","Seattle, WA",-1,-1,Jack Straw Cultural Center,Beginners,Microphone Workshop,"Media, Mass communication, Microphone",http://www.jackstraw.org/programs/ed/adult/workshops_current.html
Workshop,"Learn the basic skills of recording and editing sound with audio editing software. We'll learn two different programs, both free or affordable, and see the advantages and disadvantages of each. Audacity is open-source free-download software used for audio and video production; GarageBand is a very affordable recording and music production program from Apple. Learn to record, edit, and process sounds in each environment, for interview, story, video, and music applications. Followup intensive instruction available also.","Seattle, WA",-1,-1,Jack Straw Cultural Center,Beginners,Intro to Digital Audio Editing,"Media, Mass communication, Audio editing, Audio editing software, Audacity",http://www.jackstraw.org/programs/ed/adult/workshops_current.html
Workshop,"Learn techniques for high quality field recording of music, ambience, sound effects, and voice with portable equipment. Useful for radio and TV producers, as well as sound artists and engineers. Students will practice field recording and listen to their work.","Seattle, WA",-1,-1,Jack Straw Cultural Center,Beginners,Basic Field Recording,"Media, Mass communication, Film, Sound effects",http://www.jackstraw.org/programs/ed/adult/workshops_current.html
